n,Metric,bayesian,bayesian_fixed_K,spectral,leiden,louvain
4000,v_measure_score,0.9287469251910684,0.9629884434549698,0.9766876161841431,0.9974968783623634,0.9797087382139142
4000,homogeneity_score,0.9778277895253241,0.9752382546251355,0.9766843811685186,0.9961929512533614,0.9592507162718974
4000,fowlkes_mallows_score,0.8629868241227552,0.9857321086331776,0.9879545966861546,0.9984012754762942,0.9954293283275415
4500,adjusted_mutual_info_score,0.9597163423628047,0.7988588516726203,0.9752602244682842,0.9872776125828873,0.8989699874131631
4500,adjusted_rand_score,0.9486255533222764,0.961932563267492,0.9840116738698095,0.9959108888309982,0.9260930717203488
4500,v_measure_score,0.886422213109847,0.9561650214279196,0.9752875886776146,0.9933055631837904,0.9002042840154532
4500,homogeneity_score,0.9379319611794182,0.9747448281684166,0.975285988547744,0.991060473329892,0.9800751413812965
4500,fowlkes_mallows_score,0.9534402252832382,0.9870992379525804,0.987206568559162,0.9962919546430979,0.9621279710770525
5000,adjusted_mutual_info_score,0.9741048137611186,0.951280496306629,0.974165127563308,0.9920236200898598,0.8850781750324875
5000,adjusted_rand_score,0.9779475461972492,0.9824739208160104,0.9832369993023639,0.9969096343921002,0.9363782294227658
5000,v_measure_score,0.9735666116096281,0.9286935446056811,0.9741908420900923,0.9924204150482574,0.9298370405401926
5000,homogeneity_score,0.974314190961441,0.9775037624280655,0.9741883476023357,0.9925520664054963,0.9777671372611648
5000,fowlkes_mallows_score,0.9782442112852443,0.9812151270940863,0.9865870135444412,0.9927031535914109,0.9821560735719619
