c_min,Metric,bayesian,bayesian_fixed_K,spectral,leiden,louvain
46,fowlkes_mallows_score,0.9881409281399757,0.9189726092173263,0.9892962579235766,0.9972023205464089,0.9975971909106714
55,adjusted_mutual_info_score,0.9837385728936759,0.9359815470838699,0.9814784089439824,0.9992133925175075,0.990772255664055
55,adjusted_rand_score,0.9693464058239503,0.9707148799546838,0.986632826444154,0.9980008430867648,0.9965073837120398
55,v_measure_score,0.9470899239905627,0.9184118173593563,0.981571043614014,0.9948657269419403,0.9958873081729059
55,homogeneity_score,0.9837023788723871,0.9717780537163965,0.981551881088067,0.9992170169272653,0.9953309064046655
55,fowlkes_mallows_score,0.9575428167232282,0.9694047093601785,0.9892962579235766,0.9983990352627419,0.9979970313334385
64,adjusted_mutual_info_score,0.941942916522256,0.9656350437558364,0.9814784089439824,0.9992133925175075,0.9950787838504379
64,adjusted_rand_score,0.983155973362256,0.6921953086024041,0.986632826444154,0.9965024694363679,0.9915320354402342
64,v_measure_score,0.8971326476657818,0.9770946309950969,0.981571043614014,0.9934428923498487,0.9964311669127441
64,homogeneity_score,0.9812873227323722,0.9818595466151502,0.981551881088067,0.9992170169272653,0.994730682053658
64,fowlkes_mallows_score,0.9666507506425888,0.9832996382858237,0.9892962579235766,0.997600242179546,0.994829889232767
73,adjusted_mutual_info_score,0.9849471926419717,0.8823641213916046,0.9814784089439824,0.9942921167734216,0.9911463157469035
73,adjusted_rand_score,0.8767005053377244,0.8654585500376228,0.986632826444154,0.9975051230719373,0.9915239292970325
73,v_measure_score,0.932525443285369,0.9854608026449586,0.981571043614014,0.9948658081906607,0.9957125278640266
73,homogeneity_score,0.9730301419495007,0.9799001762785249,0.981551881088067,0.9992170169272653,0.9766197123571754
73,fowlkes_mallows_score,0.9423017179341787,0.8366988990316615,0.9892962579235766,0.998399099979596,0.9948026236974117
82,adjusted_mutual_info_score,0.9377330521818946,0.957703938922936,0.9814784089439824,0.9964775992030634,0.9868996012155378
82,adjusted_rand_score,0.8749789092892251,0.6900518997746259,0.986632826444154,0.9965024694363679,0.9950327267131461
82,v_measure_score,0.979926934609719,0.9736966035497016,0.981571043614014,0.9978248661568259,0.9907546403081458
82,homogeneity_score,0.9783465783796317,0.979548810357809,0.981551881088067,0.9976504325355293,0.9912626457667979
82,fowlkes_mallows_score,0.9324718880394146,0.8642027434790538,0.9892962579235766,0.998399099979596,0.9921625175253247
91,adjusted_mutual_info_score,0.9220845324493553,0.9546291470326752,0.9814784089439824,0.9992133925175075,0.9907602616066175
91,adjusted_rand_score,0.9300725987677817,0.9262251726042903,0.986632826444154,0.9994992468652804,0.9960203697498319
91,v_measure_score,0.9672475597599727,0.9715618102266748,0.981571043614014,0.9963054765969174,0.9883971931338488
91,homogeneity_score,0.989389038534797,0.9781385945870575,0.981551881088067,0.9978227031587588,0.99255339912278
91,fowlkes_mallows_score,0.9656741735464383,0.9041161832663356,0.9892962579235766,0.999598996992485,0.9987990131128036
100,adjusted_mutual_info_score,0.9554682474541746,0.9163923156553624,0.9814784089439824,0.997640165935362,0.9808870866849991
100,adjusted_rand_score,0.7539818391710481,0.9861986755337482,0.986632826444154,0.9950217851612937,0.9940274969225029
100,v_measure_score,0.8665092225483819,0.9423698987379951,0.981571043614014,0.9943194481302658,0.9895192343865691
100,homogeneity_score,0.9791144589980767,0.9814074548906199,0.981551881088067,0.9992170169272653,0.9958808599758834
100,fowlkes_mallows_score,0.9924192298311901,0.8958502517511097,0.9892962579235766,0.999598996992485,0.9987990131128036
