c,Metric,bayesian,bayesian_fixed_K,spectral,leiden,louvain
73,fowlkes_mallows_score,0.6587000231683139,0.6135818289859019,0.5346253139557258,0.5126034564882602,0.4940404768666856
82,adjusted_mutual_info_score,0.3906026931178147,0.33945904262372,0.4018000867492745,0.4160614326021167,0.4173794913095009
82,adjusted_rand_score,0.31462346098977906,0.34027840153327704,0.4016434348677585,0.4150243268519132,0.410653303300257
82,v_measure_score,0.3885321103291089,0.3749488415520295,0.404941625611052,0.42116393145984105,0.42911097858585245
82,homogeneity_score,0.38841616981817995,0.3897317741083074,0.40399208272402864,0.43128941359156225,0.4280817317787983
82,fowlkes_mallows_score,0.6610265068988144,0.6334234911810411,0.5346253139557258,0.49766490116830814,0.5001316030867257
91,adjusted_mutual_info_score,0.3849338260474641,0.3847606373580933,0.4018000867492745,0.4173568331245991,0.40858561384304853
91,adjusted_rand_score,0.3920821361552042,0.3896279572148885,0.4016434348677585,0.41384421999772397,0.41409957099428363
91,v_measure_score,0.3918976145486368,0.3899733675602128,0.404941625611052,0.42109089936660177,0.42891660178098545
91,homogeneity_score,0.38420477739090664,0.3778818231965645,0.40399208272402864,0.43236746715213964,0.4371699312756057
91,fowlkes_mallows_score,0.6602562648807864,0.6536668263819106,0.5346253139557258,0.4971657494746281,0.49441005738706634
100,adjusted_mutual_info_score,0.38088145204629875,0.3640326595347944,0.4018000867492745,0.42075222164102044,0.416220353908937
100,adjusted_rand_score,0.3468125062804629,0.389653762997941,0.4016434348677585,0.4266958297901402,0.4089205242351624
100,v_measure_score,0.3792930133501408,0.2996364079463462,0.404941625611052,0.43275829267604476,0.39052024810564906
100,homogeneity_score,0.389569433824679,0.3809680995540428,0.40399208272402864,0.4318227852438195,0.4237922725394648
100,fowlkes_mallows_score,0.6512810402191153,0.6551817294189795,0.5346253139557258,0.49824605874433947,0.49200842312418913
