p_out,Metric,bayesian,spectral,leiden,louvain,walktrap
0.036000000000000004,adjusted_mutual_info_score,0.0,0.6448772479790296,0.8223395010079924,0.6544034679880963,0.5024361490322852
0.036000000000000004,adjusted_rand_score,0.0369740956972077,0.6578369124352679,0.8400388441164176,0.8254933119076671,0.43242497168245325
0.036000000000000004,v_measure_score,0.0,0.6491243303919644,0.8086845388694163,0.23973907216750115,0.5084780644287159
0.036000000000000004,homogeneity_score,0.0,0.6486754951893922,0.6518817873301171,0.8295475410809843,0.5011586076604845
0.036000000000000004,fowlkes_mallows_score,0.35231253756306224,0.7004356272961573,0.28629942927171975,0.6876243636932942,0.5087692201215229
0.04,adjusted_mutual_info_score,0.0,0.6021175407765951,0.4877084164924933,0.4837071062149537,0.4358554711852668
0.04,adjusted_rand_score,0.0,0.6070270370435601,0.06859957933715903,0.393733370851937,0.3810819059403508
0.04,v_measure_score,0.0,0.6068780195263632,0.1893516132030098,0.6951773195990891,0.44268443698836524
0.04,homogeneity_score,0.0,0.606239791740417,0.5300306753021439,0.13986281265736744,0.4375884564694967
0.04,fowlkes_mallows_score,0.35231253756306224,0.6560196498563049,0.2382083774780771,0.22137991448670352,0.4625700343689036
